Course Name,State,Tee Colour,Gender,Slope Rating,Course Rating,Par Total,Hole 1 Par,Hole 1 SI,Hole 2 Par,Hole 2 SI,Hole 3 Par,Hole 3 SI,Hole 4 Par,Hole 4 SI,Hole 5 Par,Hole 5 SI,Hole 6 Par,Hole 6 SI,Hole 7 Par,Hole 7 SI,Hole 8 Par,Hole 8 SI,Hole 9 Par,Hole 9 SI,Hole 10 Par,Hole 10 SI,Hole 11 Par,Hole 11 SI,Hole 12 Par,Hole 12 SI,Hole 13 Par,Hole 13 SI,Hole 14 Par,Hole 14 SI,Hole 15 Par,Hole 15 SI,Hole 16 Par,Hole 16 SI,Hole 17 Par,Hole 17 SI,Hole 18 Par,Hole 18 SI
Camden Lakeside Golf Club,NSW,Teal,Male,123,71.6,72,4,0,5,0,3,0,4,0,4,0,5,0,4,0,4,0,4,0,3,0,4,0,5,0,4,0,3,0,5,0,4,0,3,0,4,0
Camden Lakeside Golf Club,NSW,Teal,Female,119,67,72,4,0,5,0,3,0,4,0,4,0,5,0,4,0,4,0,4,0,3,0,4,0,5,0,4,0,3,0,5,0,4,0,3,0,4,0
Strathfield Golf Club,NSW,Blue,Male,133,75,71,5,14,3,12,5,16,4,8,3,18,3,10,4,6,5,4,4,2,3,17,5,15,4,5,3,1,4,13,5,7,3,11,4,9,4,3
Strathfield Golf Club,NSW,Blue,Female,135,76.4,71,5,0,3,0,5,0,4,0,3,0,3,0,4,0,5,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0
Strathfield Golf Club,NSW,White,Male,131,70,71,5,0,3,0,5,0,4,0,3,0,3,0,4,0,5,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0
Strathfield Golf Club,NSW,White,Female,135,75,71,5,0,3,0,5,0,4,0,3,0,3,0,4,0,5,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0
Strathfield Golf Club,NSW,Red,Male,120,70.1,71,5,0,3,0,5,0,4,0,3,0,3,0,4,0,5,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0
Strathfield Golf Club,NSW,Red,Female,130,73,71,5,0,3,0,5,0,4,0,3,0,3,0,4,0,5,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0
Pennant Hills Golf Club,NSW,Blue,Male,126,69,71,5,9,4,3,5,13,3,15,5,11,3,5,4,1,4,7,3,18,4,2,4,4,5,17,4,6,3,14,4,16,4,12,4,8,3,10
Pennant Hills Golf Club,NSW,Blue,Female,119,71,71,5,0,4,0,5,0,3,0,5,0,3,0,4,0,4,0,3,0,4,0,4,0,5,0,4,0,3,0,4,0,4,0,4,0,3,0
Pennant Hills Golf Club,NSW,White,Male,126,73.4,71,5,0,4,0,5,0,3,0,5,0,3,0,4,0,4,0,3,0,4,0,4,0,5,0,4,0,3,0,4,0,4,0,4,0,3,0
Pennant Hills Golf Club,NSW,White,Female,132,75.1,71,5,0,4,0,5,0,3,0,5,0,3,0,4,0,4,0,3,0,4,0,4,0,5,0,4,0,3,0,4,0,4,0,4,0,3,0
Pennant Hills Golf Club,NSW,Red,Male,121,70.5,71,5,0,4,0,5,0,3,0,5,0,3,0,4,0,4,0,3,0,4,0,4,0,5,0,4,0,3,0,4,0,4,0,4,0,3,0
Pennant Hills Golf Club,NSW,Red,Female,125,71.7,71,5,0,4,0,5,0,3,0,5,0,3,0,4,0,4,0,3,0,4,0,4,0,5,0,4,0,3,0,4,0,4,0,4,0,3,0
Kellyville Country Golf Club,NSW,White,Male,0,0,63,3,0,4,0,3,0,4,0,3,0,4,0,4,0,3,0,4,0,4,0,3,0,4,0,3,0,3,0,4,0,3,0,3,0,4,0
Kellyville Country Golf Club,NSW,Red,Female,0,0,63,3,0,4,0,3,0,4,0,3,0,4,0,4,0,3,0,4,0,4,0,3,0,4,0,3,0,3,0,4,0,3,0,3,0,4,0
Shelly Beach Golf Club,NSW,Mens,Male,118,71,71,5,13,4,1,4,3,3,15,4,5,4,9,4,11,4,17,5,7,3,16,4,4,4,2,3,12,4,8,5,18,4,6,4,10,3,14
Shelly Beach Golf Club,NSW,Ladies,Female,133,75,71,5,0,4,0,4,0,3,0,4,0,4,0,4,0,4,0,5,0,3,0,4,0,4,0,3,0,4,0,5,0,4,0,4,0,3,0
Riverside Oaks (Bungool),NSW,Blue,Male,128,71.5,72,4,0,5,0,3,0,4,0,4,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,4,0,3,0,4,0,5,0,4,0,4,0
Riverside Oaks (Bungool),NSW,Blue,Female,134,76,72,4,0,5,0,3,0,4,0,4,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,4,0,3,0,4,0,5,0,4,0,4,0
Riverside Oaks (Bungool),NSW,White,Male,124,69.5,72,4,0,5,0,3,0,4,0,4,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,4,0,3,0,4,0,5,0,4,0,4,0
Riverside Oaks (Bungool),NSW,White,Female,129,74,72,4,0,5,0,3,0,4,0,4,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,4,0,3,0,4,0,5,0,4,0,4,0
Riverside Oaks (Bungool),NSW,Red,Male,121,70,72,4,0,5,0,3,0,4,0,4,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,4,0,3,0,4,0,5,0,4,0,4,0
Riverside Oaks (Bungool),NSW,Red,Female,125,72,72,4,0,5,0,3,0,4,0,4,0,4,0,3,0,5,0,4,0,3,0,4,0,5,0,4,0,3,0,4,0,5,0,4,0,4,0
Port Kembla Golf Club,NSW,White,Male,137,71.3,72,4,9,4,3,3,11,4,1,5,5,4,13,4,15,3,17,5,7,4,16,4,12,3,18,4,2,5,6,3,8,4,14,4,4,5,10
Port Kembla Golf Club,NSW,White,Female,138,77.8,72,4,0,4,0,3,0,4,0,5,0,4,0,4,0,3,0,5,0,4,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0,5,0
Port Kembla Golf Club,NSW,Red,Male,123,71.8,72,4,0,4,0,3,0,4,0,5,0,4,0,4,0,3,0,5,0,4,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0,5,0
Port Kembla Golf Club,NSW,Red,Female,135,75.4,72,4,0,4,0,3,0,4,0,5,0,4,0,4,0,3,0,5,0,4,0,4,0,3,0,4,0,5,0,3,0,4,0,4,0,5,0
Boomerang Farm Golf Course,NSW,Blue,Male,113,67,67,4,11,4,10,3,14,5,12,4,5,3,4,3,13,4,6,3,8,3,15,4,7,4,3,4,17,3,18,5,1,4,9,4,16,3,2
Boomerang Farm Golf Course,NSW,Blue,Female,113,67,67,4,11,4,10,3,14,5,12,4,5,3,4,3,13,4,6,3,8,3,15,4,7,4,3,4,17,3,18,5,1,4,9,4,16,3,2
Boomerang Farm Golf Course,NSW,Red,Male,113,67,67,4,11,4,10,3,14,5,12,4,5,3,4,3,13,4,6,3,8,3,15,4,7,4,3,4,17,3,18,5,1,4,9,4,16,3,2
Boomerang Farm Golf Course,NSW,Red,Female,113,67,67,4,11,4,10,3,14,5,12,4,5,3,4,3,13,4,6,3,8,3,15,4,7,4,3,4,17,3,18,5,1,4,9,4,16,3,2
Kareela Golf Club,NSW,Yellow,Male,113,61,65,3,9,3,11,4,6,4,4,4,5,4,8,4,15,3,18,3,17,3,2,4,1,3,13,5,10,4,14,4,12,4,3,3,7,3,16
Kareela Golf Club,NSW,Yellow,Female,109,65,66,3,9,3,11,4,6,4,4,4,5,4,8,4,15,3,18,3,17,3,2,4,1,3,13,5,10,4,14,4,12,4,3,3,7,4,16
Ocean Shores Country Club,NSW,Yellow,Male,124,70,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Ocean Shores Country Club,NSW,White,Female,133,76,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Mullumbimby Golf Club,NSW,Blue,Male,127,70,70,5,8,4,12,4,2,5,16,3,18,4,6,3,4,4,14,3,10,5,7,4,17,3,13,4,15,4,11,4,1,4,3,3,9,4,5
Mullumbimby Golf Club,NSW,Men White F9x2,Male,126,69,70,5,8,4,12,4,2,5,16,3,18,4,6,3,4,4,14,3,10,5,7,4,17,3,13,4,15,4,11,4,1,4,3,3,9,4,5
Mullumbimby Golf Club,NSW,White,Male,125,69,70,5,8,4,12,4,2,5,16,3,18,4,6,3,4,4,14,3,10,5,7,4,17,3,13,4,15,4,11,4,1,4,3,3,9,4,5
Mullumbimby Golf Club,NSW,Red,Male,118,66,70,5,8,4,12,4,2,5,16,3,18,4,6,3,4,4,14,3,10,5,7,4,17,3,13,4,15,4,11,4,1,4,3,3,9,4,5
Mullumbimby Golf Club,NSW,White,Female,128,74,71,5,7,4,9,5,15,5,4,3,12,4,2,3,13,4,11,3,17,5,6,4,16,3,18,4,10,4,8,4,1,4,3,3,14,4,5
Mullumbimby Golf Club,NSW,Red F9x2,Female,121,72,71,5,7,4,9,5,15,5,4,3,12,4,2,3,13,4,11,3,17,5,6,4,16,3,18,4,10,4,8,4,1,4,3,3,14,4,5
Mullumbimby Golf Club,NSW,Red,Female,120,70,71,5,7,4,9,5,15,5,4,3,12,4,2,3,13,4,11,3,17,5,6,4,16,3,18,4,10,4,8,4,1,4,3,3,14,4,5
Mullumbimby Golf Club,NSW,Purple,Female,111,68,71,5,7,4,9,5,15,5,4,3,12,4,2,3,13,4,11,3,17,5,6,4,16,3,18,4,10,4,8,4,1,4,3,3,14,4,5
Teven Golf Club,NSW,18 Hole,Male,107,58,58,3,4,4,8,3,6,4,16,3,12,4,15,4,13,3,17,3,1,3,9,3,3,3,11,3,10,3,14,3,7,3,5,3,18,3,2
Teven Golf Club,NSW,18 Hole,Female,107,61,58,3,4,4,8,3,6,4,16,3,12,4,15,4,13,3,17,3,1,3,9,3,3,3,11,3,10,3,14,3,7,3,5,3,18,3,2
Coolangatta and Tweed Heads Golf Club,NSW,Blue,Male,129,72,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta and Tweed Heads Golf Club,NSW,White,Male,128,71,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta and Tweed Heads Golf Club,NSW,Yellow,Male,125,70,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta and Tweed Heads Golf Club,NSW,Red,Male,122,69,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta and Tweed Heads Golf Club,NSW,White,Female,133,76,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Coolangatta and Tweed Heads Golf Club,NSW,Red,Female,128,74,73,5,8,4,10,3,16,4,4,4,14,5,12,3,18,4,2,4,6,3,15,4,11,4,7,4,5,5,9,5,13,4,3,3,17,5,1
Club Banora Golf Club,NSW,Blue,Male,133,69,71,5,1,3,17,4,16,4,3,4,14,4,9,3,10,5,12,4,6,5,2,3,8,3,11,4,4,4,15,4,7,3,18,4,5,5,13
Club Banora Golf Club,NSW,White,Male,123,68,71,5,1,3,17,4,16,4,3,4,14,4,9,3,10,5,12,4,6,5,2,3,8,3,11,4,4,4,15,4,7,3,18,4,5,5,13
Club Banora Golf Club,NSW,Red,Female,121,73,73,5,1,3,13,4,18,4,2,4,9,4,7,3,16,5,8,5,12,5,4,3,14,3,17,4,5,4,11,4,3,3,15,5,10,5,6
Murwillumbah Golf Club,NSW,Blue Flood,Male,135,72,72,3,15,5,13,4,11,4,5,5,7,4,3,4,1,3,9,4,17,3,16,5,14,4,12,4,6,5,8,4,4,4,2,3,10,4,18
Murwillumbah Golf Club,NSW,White Flood,Male,131,70,72,3,15,5,13,4,11,4,5,5,7,4,3,4,1,3,9,4,17,3,16,5,14,4,12,4,6,5,8,4,4,4,2,3,10,4,18
Murwillumbah Golf Club,NSW,Blue TEMP,Male,125,69,72,3,15,5,13,4,11,4,5,5,7,4,3,4,1,3,9,4,17,3,16,5,14,4,12,4,6,5,8,4,4,4,2,3,10,4,18
Murwillumbah Golf Club,NSW,White TEMP,Male,119,68,72,3,15,5,13,4,11,4,5,5,7,4,3,4,1,3,9,4,17,3,16,5,14,4,12,4,6,5,8,4,4,4,2,3,10,4,18
Murwillumbah Golf Club,NSW,Red,Male,118,68,72,3,15,5,13,4,11,4,5,5,7,4,3,4,1,3,9,4,17,3,16,5,14,4,12,4,6,5,8,4,4,4,2,3,10,4,18
Murwillumbah Golf Club,NSW,Red Flood,Female,134,75,72,3,17,5,7,4,11,4,13,5,1,4,3,4,5,3,15,4,9,3,18,5,8,4,12,4,14,5,2,4,4,4,6,3,16,4,10
Murwillumbah Golf Club,NSW,White,Female,132,78,72,3,17,5,7,4,11,4,13,5,1,4,3,4,5,3,15,4,9,3,18,5,8,4,12,4,14,5,2,4,4,4,6,3,16,4,10
Murwillumbah Golf Club,NSW,Red F9x2,Female,125,73,72,3,17,5,7,4,11,4,13,5,1,4,3,4,5,3,15,4,9,3,18,5,8,4,12,4,14,5,2,4,4,4,6,3,16,4,10
Murwillumbah Golf Club,NSW,Red TEMP,Female,119,71,72,3,17,5,7,4,11,4,13,5,1,4,3,4,5,3,15,4,9,3,18,5,8,4,12,4,14,5,2,4,4,4,6,3,16,4,10
